block,trial,trials_colorind,trials_colorrgb0,trials_colorrgb1,trials_colorrgb2,wm_respdeg,wm_respdeg_in_colorspace,wm_respcolorminusorigcolor,wm_resptexind,wm_resptexrgb0,wm_resptexrgb1,wm_resptexrgb2,wm_rts,time_blockstart,time_encarray_offset,time_encarray_onset,time_iti_offset,time_iti_onset,time_memprobe_offset,time_memprobe_onset
2,9,310,-0.032854544558,0.417080732083,0.468828018046,-124.3150876,214.3150876,-3.6536624,305.0,0.00361192545304,0.406859252708,0.500196907155,1.04521695618,212.544607704,246.415907786,247.224347969,249.291260522,250.29079838,248.232811359,249.282931128
2,10,24,1.0,0.102019060141,-1.0,70.7347356908,19.2652643092,2.39026430918,27.0,1.0,0.0870912575778,-1.0,1.46497098589,212.544607704,250.308086663,251.116519433,253.608490246,254.607936873,252.124969423,253.600158286
2,11,322,-0.105067232891,0.43811622051,0.383559350674,-145.400552025,235.400552025,8.99430202482,335.0,-0.155595990888,0.455627721073,0.276893227044,1.81962083234,212.544607704,254.625343756,255.433740034,258.275746969,259.275126597,256.442206845,258.267427838
2,12,417,0.0945046041228,0.457053563907,-0.645720198395,178.225919141,271.774080859,-21.4290441412,387.0,-0.0787219327085,0.477231755363,-0.256974454483,1.39224615972,212.544607704,259.292615018,260.1010093,262.517966528,263.517271177,261.109478392,262.509671916
2,13,480,0.580928072941,0.32870764083,-1.0,102.902412527,347.097587473,9.59758747273,494.0,0.698129958021,0.282143999684,-1.0,1.0059442725,212.544607704,263.534797801,264.343265353,266.368478192,267.368432006,265.351684268,266.360156781
2,14,17,0.981069150956,0.135921910835,-1.0,77.3004155104,12.6995844896,0.746459489597,18.0,0.988682696815,0.131162580546,-1.0,1.17939615343,212.544607704,267.385314596,268.193725699,270.393993804,271.393516552,269.202181961,270.38566441
2,15,410,0.0492046846968,0.463921527344,-0.54316189137,178.437775083,271.562224917,-16.7190250832,386.0,-0.0833946583454,0.477495592553,-0.245424736514,0.889772657771,212.544607704,271.410821655,272.219253285,274.136140665,275.135650583,273.227702706,274.127816972
2,16,22,1.0,0.111842423158,-1.0,81.5730309785,8.42696902148,-7.04178097852,12.0,0.942476689623,0.159273951266,-1.0,2.17152947094,212.544607704,275.152937725,275.961371351,279.153457457,280.152860179,276.96986268,279.145132054
2,17,73,1.0,-0.1546788618,-0.830916872461,53.5938170633,36.4061829367,-14.9219420633,52.0,1.0,-0.0438860552364,-1.0,1.55411169771,212.544607704,280.1703352,280.9787081,283.554025883,284.554037572,281.987166643,283.545710174
2,18,415,0.0813077335083,0.459153678902,-0.614968023274,161.949580837,288.050419163,-3.74645583666,410.0,0.0492046846968,0.463921527344,-0.54316189137,1.29752239306,212.544607704,284.570865138,285.379277382,287.696238829,288.696184091,286.387737636,287.687903448
